text,label
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
Załączam raport z ostatniego spotkania.,ham
"Twoje konto zostało zablokowane. Zaloguj się, aby je odblokować.",spam
Czy możesz przesłać mi prezentację?,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
Miłego dnia! Pozdrawiam serdecznie.,ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
Proszę o przesłanie faktury za usługi.,ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
Dziękuję za szybką odpowiedź.,ham
Masz nieopłaconą fakturę. Zapłać natychmiast.,spam
Przypominam o jutrzejszym spotkaniu zespołu.,ham
Gratulacje! Zostałeś wybrany do testowania nowego produktu.,spam
Miłego dnia! Pozdrawiam serdecznie.,ham
"Wygrałeś milion dolarów! Kliknij tutaj, aby odebrać nagrodę.",spam
Dziękuję za szybką odpowiedź.,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
Przypominam o jutrzejszym spotkaniu zespołu.,ham
Zainwestuj w kryptowaluty i zarabiaj codziennie.,spam
Czy możesz przesłać mi prezentację?,ham
Masz nieopłaconą fakturę. Zapłać natychmiast.,spam
W załączniku znajdziesz dokumenty do podpisu.,ham
Pilne! Potrzebujemy potwierdzenia Twoich danych bankowych.,spam
"Cześć, czy spotkamy się jutro na kawie?",ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
Proszę o informację zwrotną w sprawie projektu.,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
Załączam raport z ostatniego spotkania.,ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
Proszę o przesłanie faktury za usługi.,ham
Gratulacje! Zostałeś wybrany do testowania nowego produktu.,spam
Proszę o informację zwrotną w sprawie projektu.,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
Miłego dnia! Pozdrawiam serdecznie.,ham
Zainwestuj w kryptowaluty i zarabiaj codziennie.,spam
Przypominam o jutrzejszym spotkaniu zespołu.,ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
Czy możesz przesłać mi prezentację?,ham
"Twoje konto zostało zablokowane. Zaloguj się, aby je odblokować.",spam
"Cześć, czy spotkamy się jutro na kawie?",ham
Masz nieopłaconą fakturę. Zapłać natychmiast.,spam
W załączniku znajdziesz dokumenty do podpisu.,ham
Masz nieopłaconą fakturę. Zapłać natychmiast.,spam
Dziękuję za szybką odpowiedź.,ham
Pilne! Potrzebujemy potwierdzenia Twoich danych bankowych.,spam
Proszę o informację zwrotną w sprawie projektu.,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
Proszę o przesłanie faktury za usługi.,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
Proszę o informację zwrotną w sprawie projektu.,ham
Zainwestuj w kryptowaluty i zarabiaj codziennie.,spam
Dziękuję za szybką odpowiedź.,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
W załączniku znajdziesz dokumenty do podpisu.,ham
Pilne! Potrzebujemy potwierdzenia Twoich danych bankowych.,spam
Potwierdzam otrzymanie zamówienia.,ham
Zainwestuj w kryptowaluty i zarabiaj codziennie.,spam
Dziękuję za szybką odpowiedź.,ham
Gratulacje! Zostałeś wybrany do testowania nowego produktu.,spam
Dziękuję za szybką odpowiedź.,ham
Otrzymujesz specjalną ofertę tylko dziś! Kup teraz!,spam
Proszę o informację zwrotną w sprawie projektu.,ham
Zainwestuj w kryptowaluty i zarabiaj codziennie.,spam
Dziękuję za szybką odpowiedź.,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
Załączam raport z ostatniego spotkania.,ham
Otrzymujesz darmowy prezent. Kliknij w link.,spam
Proszę o informację zwrotną w sprawie projektu.,ham
Otrzymujesz specjalną ofertę tylko dziś! Kup teraz!,spam
Załączam raport z ostatniego spotkania.,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
W załączniku znajdziesz dokumenty do podpisu.,ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
Proszę o informację zwrotną w sprawie projektu.,ham
"Twoje konto zostało zablokowane. Zaloguj się, aby je odblokować.",spam
Proszę o przesłanie faktury za usługi.,ham
"Twoje konto zostało zablokowane. Zaloguj się, aby je odblokować.",spam
Dziękuję za szybką odpowiedź.,ham
Masz nieopłaconą fakturę. Zapłać natychmiast.,spam
Potwierdzam otrzymanie zamówienia.,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
Przypominam o jutrzejszym spotkaniu zespołu.,ham
Otrzymujesz darmowy prezent. Kliknij w link.,spam
Proszę o informację zwrotną w sprawie projektu.,ham
Otrzymujesz darmowy prezent. Kliknij w link.,spam
Miłego dnia! Pozdrawiam serdecznie.,ham
Gratulacje! Zostałeś wybrany do testowania nowego produktu.,spam
W załączniku znajdziesz dokumenty do podpisu.,ham
Pilne! Potrzebujemy potwierdzenia Twoich danych bankowych.,spam
Miłego dnia! Pozdrawiam serdecznie.,ham
"Twoje konto zostało zablokowane. Zaloguj się, aby je odblokować.",spam
Przypominam o jutrzejszym spotkaniu zespołu.,ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
Przypominam o jutrzejszym spotkaniu zespołu.,ham
Masz nieopłaconą fakturę. Zapłać natychmiast.,spam
Załączam raport z ostatniego spotkania.,ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
W załączniku znajdziesz dokumenty do podpisu.,ham
Otrzymujesz specjalną ofertę tylko dziś! Kup teraz!,spam
"Cześć, czy spotkamy się jutro na kawie?",ham
"Twoje konto zostało zablokowane. Zaloguj się, aby je odblokować.",spam
Załączam raport z ostatniego spotkania.,ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
Proszę o przesłanie faktury za usługi.,ham
Otrzymujesz darmowy prezent. Kliknij w link.,spam
"Cześć, czy spotkamy się jutro na kawie?",ham
Zainwestuj w kryptowaluty i zarabiaj codziennie.,spam
"Cześć, czy spotkamy się jutro na kawie?",ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
Proszę o informację zwrotną w sprawie projektu.,ham
"Wygrałeś milion dolarów! Kliknij tutaj, aby odebrać nagrodę.",spam
Miłego dnia! Pozdrawiam serdecznie.,ham
Pilne! Potrzebujemy potwierdzenia Twoich danych bankowych.,spam
Proszę o przesłanie faktury za usługi.,ham
"Twoje konto zostało zablokowane. Zaloguj się, aby je odblokować.",spam
Proszę o informację zwrotną w sprawie projektu.,ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
W załączniku znajdziesz dokumenty do podpisu.,ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
Miłego dnia! Pozdrawiam serdecznie.,ham
Otrzymujesz darmowy prezent. Kliknij w link.,spam
"Cześć, czy spotkamy się jutro na kawie?",ham
Pilne! Potrzebujemy potwierdzenia Twoich danych bankowych.,spam
Przypominam o jutrzejszym spotkaniu zespołu.,ham
Otrzymujesz specjalną ofertę tylko dziś! Kup teraz!,spam
Dziękuję za szybką odpowiedź.,ham
Otrzymujesz darmowy prezent. Kliknij w link.,spam
"Cześć, czy spotkamy się jutro na kawie?",ham
"Wygrałeś milion dolarów! Kliknij tutaj, aby odebrać nagrodę.",spam
Dziękuję za szybką odpowiedź.,ham
Gratulacje! Zostałeś wybrany do testowania nowego produktu.,spam
"Cześć, czy spotkamy się jutro na kawie?",ham
Otrzymujesz darmowy prezent. Kliknij w link.,spam
Potwierdzam otrzymanie zamówienia.,ham
Masz nieopłaconą fakturę. Zapłać natychmiast.,spam
Czy możesz przesłać mi prezentację?,ham
Otrzymujesz specjalną ofertę tylko dziś! Kup teraz!,spam
Proszę o informację zwrotną w sprawie projektu.,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
Dziękuję za szybką odpowiedź.,ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
Przypominam o jutrzejszym spotkaniu zespołu.,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
Proszę o przesłanie faktury za usługi.,ham
Gratulacje! Zostałeś wybrany do testowania nowego produktu.,spam
Proszę o przesłanie faktury za usługi.,ham
"Twoje konto zostało zablokowane. Zaloguj się, aby je odblokować.",spam
Dziękuję za szybką odpowiedź.,ham
Otrzymujesz darmowy prezent. Kliknij w link.,spam
Załączam raport z ostatniego spotkania.,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
Proszę o informację zwrotną w sprawie projektu.,ham
"Twoje konto zostało zablokowane. Zaloguj się, aby je odblokować.",spam
Potwierdzam otrzymanie zamówienia.,ham
Pilne! Potrzebujemy potwierdzenia Twoich danych bankowych.,spam
W załączniku znajdziesz dokumenty do podpisu.,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
Załączam raport z ostatniego spotkania.,ham
Zainwestuj w kryptowaluty i zarabiaj codziennie.,spam
"Cześć, czy spotkamy się jutro na kawie?",ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
"Cześć, czy spotkamy się jutro na kawie?",ham
Zainwestuj w kryptowaluty i zarabiaj codziennie.,spam
W załączniku znajdziesz dokumenty do podpisu.,ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
Przypominam o jutrzejszym spotkaniu zespołu.,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
Czy możesz przesłać mi prezentację?,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
Potwierdzam otrzymanie zamówienia.,ham
Zainwestuj w kryptowaluty i zarabiaj codziennie.,spam
W załączniku znajdziesz dokumenty do podpisu.,ham
"Wygrałeś milion dolarów! Kliknij tutaj, aby odebrać nagrodę.",spam
Przypominam o jutrzejszym spotkaniu zespołu.,ham
Otrzymujesz specjalną ofertę tylko dziś! Kup teraz!,spam
Czy możesz przesłać mi prezentację?,ham
Wyślij ten e-mail do 10 osób i wygraj iPhone'a.,spam
Proszę o informację zwrotną w sprawie projektu.,ham
"Wygrałeś milion dolarów! Kliknij tutaj, aby odebrać nagrodę.",spam
Miłego dnia! Pozdrawiam serdecznie.,ham
Gratulacje! Zostałeś wybrany do testowania nowego produktu.,spam
"Cześć, czy spotkamy się jutro na kawie?",ham
Otrzymujesz darmowy prezent. Kliknij w link.,spam
W załączniku znajdziesz dokumenty do podpisu.,ham
Otrzymujesz darmowy prezent. Kliknij w link.,spam
Proszę o przesłanie faktury za usługi.,ham
Otrzymujesz specjalną ofertę tylko dziś! Kup teraz!,spam
Miłego dnia! Pozdrawiam serdecznie.,ham
Otrzymujesz darmowy prezent. Kliknij w link.,spam
Potwierdzam otrzymanie zamówienia.,ham
Pilne! Potrzebujemy potwierdzenia Twoich danych bankowych.,spam
Przypominam o jutrzejszym spotkaniu zespołu.,ham
Zainwestuj w kryptowaluty i zarabiaj codziennie.,spam
Proszę o przesłanie faktury za usługi.,ham
Pilne! Potrzebujemy potwierdzenia Twoich danych bankowych.,spam
Czy możesz przesłać mi prezentację?,ham
Twój komputer jest zainfekowany. Pobierz antywirusa.,spam
Proszę o przesłanie faktury za usługi.,ham
Zainwestuj w kryptowaluty i zarabiaj codziennie.,spam
Czy możesz przesłać mi prezentację?,ham
